addr,key,name
西翟庄镇杨小庄村,普通,西翟庄镇杨小庄中心小学
天津市津南区小站镇东大站村,普通,天津市津南区东大站联合小学
天津市西青区南河镇马家寺村,普通,天津市马家寺中心小学
蓟县五百户镇五百户村,普通,五百户中心小学
天津市武清区崔黄口镇四街村南崔霍公路西侧,普通,天津市武清区崔黄口镇崔黄口中心小学
天津市东丽区大毕庄镇赵沽里村,普通,天津市东丽区赵沽里小学
天津市河北区月牙河小区,普通,天津市河北区月牙河小学
红桥区佳宁里小区内,普通,天津市红桥区佳宁里小学
天津市宝坻区大白庄镇大杨庄村,普通,大杨庄中心小学
天津市静海县独流镇李家湾子村,普通,天津市李家湾子中心小学
大港区太平镇北环路南,普通,天津市大港区太平镇第一小学（太平镇一小）
天津市武清区城关镇西南街,普通,天津市武清区城关小学
天津市河北区建昌道铁工西里22号,普通,天津市河北区新程小学
大丰堆镇大丰堆村,普通,天津市大丰堆镇大丰堆小学
天津市武清区杨村镇雍阳东道5号,普通,天津市武清区杨村第四小学
天津市南开区兴南街道南开二马路61号,普通,天津市南开区鸿源里小学
天津市津围公路114号,普通,宜兴埠第一小学（宜兴埠一小）
天津市河北区中纺前街36号,普通,天津市河北区宁园小学
天津市西青区李七庄街王兰庄,普通,王兰庄中心小学
天津市武清区豆张庄乡南双庙村东,普通,天津市武清区豆张庄乡南双庙中心小学
天津市河东区向阳楼一号路1号,普通,天津市河东区向阳楼小学
天津市津南区双桥河镇王庄欣达公寓南,普通,天津市津南区双桥河第一小学（双桥一小 ）
宁河县造甲城镇造甲城村,普通,天津市造甲城中心小学
天津市静海县王口镇南茁头村,普通,王口镇第四中心小学
天津市南开区西南角南大道33号,普通,天津市南开区永基小学
天津市武清区,普通,天津市武清区大孟庄镇小王庄中心小学
天津市静海县唐官屯镇满意庄村,普通,天津 静海唐官屯镇满意庄学校
天津市宝坻区大钟庄镇东鲁沽村,普通,天津市宝坻区大钟庄镇鲁沽中心小学
西青区杨柳青镇青致路6号,普通,天津市杨柳青镇第一小学（杨柳青一小）
天津市和平区湖北路59号,普通,天津市和平区二十中附小
东丽区金钟街大毕庄村,普通,天津市东丽区大毕庄小学
天津市南开区华苑信美道1号,普通,天津市南开区华苑小学
天津市汉沽区河西四纬南,普通,天津市汉沽区河西第一小学（河西一小）
天津市宝坻区郝各庄镇十四户小学,普通,郝各庄镇十四户中心小学
静海县大邱庄镇,普通,静海县大邱庄镇万全小学
天津市河东区二号桥电传路九号,普通,天津市河东区二号桥小学
天津市东丽区栖霞道,普通,天津市东丽区津门小学
天津市河西区灰堆南北大街1号,普通,天津市河西区灰堆第一小学（灰堆一小）
天津市河北区宜洁路1号,普通,天津市河北区兴华小学
天津市宁河县潘庄镇白庙村西,普通,天津市宁河县潘庄镇白庙小学
天津市河北区大江路大江北里１号,普通,天津市河北区大江路小学
天津市北辰区西堤头镇辛侯庄村,普通,天津市北辰区辛侯庄小学
天津市河北区红星路106号,普通,天津市河北区红星路小学
天津市武清区汊沽港镇二街村南,普通,天津市武清区汊沽港镇二街中心小学
天津市河东区卫国道秀丽路4号,普通,天津市河东区丽苑小学
天津市南开区西横堤跃升里市场内,普通,天津市南开区跃升里小学
河北区建国道庆安街32号,普通,天津市河北区启智学校
天津市西青区梨双路与友谊路交口,普通,育英小学
宁河县东棘坨镇东棘坨村,普通,天津市东棘坨镇东棘坨中心小学
宝坻区大唐庄镇鲫鱼甸村,普通,天津市宝坻区鲫鱼甸小学
皇姑庄村南,普通,皇姑庄小学
天津市河东区华昌大街32号,普通,天津市河东区靶当村小学（天津市河东区前程小学）
天津市南开区王顶堤苑中路58号,普通,天津市南开区新星小学
天津市河西区湘江道50号,普通,天津市河西区湘江道小学
天津市东丽区军粮城二村,普通,天津市东丽区二村中心小学
天津市武清区下朱庄街柳河村,普通,天津市武清区下朱庄街柳河完全小学
蓟县上仓镇南闵庄村村南,普通,蓟县上仓镇南闵庄完全小学
天津市津南区大滩联合小学,普通,天津市津南区大滩联合小学
天津市宝坻区高家庄镇肖家?村北,普通,天津市宝坻区高家庄镇肖家小学
天津市宝坻区大口屯镇窝北厂村东头,普通,天津市宝坻区大口屯镇北厂中心小学
天津市宝坻区林亭口镇张庄村西,普通,天津市宝坻区林亭口镇高级小学
天津市蓟县罗庄子镇翟庄村,普通,罗庄子镇翟庄小学
蓟县别山镇东陈辛庄村二区三派4号,普通,蓟县别山镇陈辛庄中心小学
宝坻区史各庄镇杨辛庄村东,普通,宝坻区报喜鸟杨辛庄中心小学
天津市宝坻区牛道口镇西四庄村,普通,西四庄中心小学
天津市武清区河西务镇木厂村,普通,天津市武清区河西务镇木厂中心小学
天津市宝坻区新安镇伍麻庄,普通,天津市宝坻区新安镇伍麻庄中心小学
蓟县下营镇段庄村西,普通,天津市下营镇段庄完全小学
天津市武清区下伍旗镇忠义村南,普通,天津市武清区下伍旗镇忠义中心小学
天津市宝坻区王卜庄镇王木元村南,普通,天津市王木元中心小学
天津市宝坻区大钟庄镇宝芝麻窝村西,普通,天津市宝坻区宝芝麻窝中心小学
天津市塘沽区津沽公路44号,普通,天津市塘沽区西开小学
天津市宝坻区大钟庄镇大刘庄,普通,天津市宝坻区大钟庄镇大刘中心小学
红桥区同义庄大街六号,普通,天津市红桥区北马路小学
天津市津南区葛沽镇西关村（津塘公路,普通,天津市津南区西关回民小学
天津市武清区崔黄口镇前营中心小学,普通,天津市武清区崔黄口镇前营中心小学
天津市武清区黄庄村,普通,天津市武清区黄庄乡黄庄中心小学
天津市武清区河西务镇中白庙村,普通,天津市武清区河西务镇中白庙完全小学
天津市武清区高村乡里老村西,普通,天津市武清区高村乡第二中心小学
天津市宝坻区王卜庄镇第一中心小学（前张司马村北面）,普通,天津市宝坻区王卜庄镇第一中心小学
天津蓟县穿芳峪乡政府西500米,普通,天津春发希望小学
天津市武清区黄花店镇鱼市庄村,普通,天津市武清区黄花店镇鱼市庄中心小学
天津市河北区富堤路40号,普通,堤头前街小学
天津市宝坻区黄庄乡吴辛庄村西200米,普通,天津市宝坻区黄庄乡第二小学（黄庄乡二小）
天津市津南区咸水沽镇二道桥村,普通,天津市津南区韩城桥联合小学
天津市宝坻区新安镇王善庄村东,普通,天津市宝坻区新安镇王善庄中心小学
天津市武清区下伍旗镇下伍旗村北,普通,天津市武清区下伍旗镇下伍旗中心小学
天津市河西区西园道18号,普通,天津市河西区兴国小学
东丽区军粮城街李台村,普通,天津市东丽区刘台中心小学
蓟县洇溜镇三岔口村西,普通,蓟县洇溜镇洇溜中心小学
天津市宝坻区霍各庄镇北马村东,普通,天津市宝坻区霍各庄镇北马中心小学
天津市汉沽区杨家泊镇桃园村北（唐津高速芦台收费站南200米）,普通,天津市汉沽区桃园小学
天津市武清区王庆坨镇大三河曾村西,普通,天津市武清区王庆坨镇大三河小学
双塘镇杨家园村,普通,天津市双塘镇杨家园小学
天津市大港油田二号院小学,普通,天津市大港区二号院小学
宝坻区大唐庄镇南里自沽村南,普通,宝坻区南里自沽中心小学
天津市和平区南营门街道西宁道84号,普通,天津市和平中心小学
天津市宝坻区牛道口镇下五庄村,普通,天津市宝坻区下五庄中心小学
天津市汉沽区孟圈村,普通,天津市汉沽区孟圈小学
